city,date,pm25,pm10,so2,no2,co,o3,temp,rh,psfc,u,v
上海|上海,2013-01-01,73.64411,104.98385,42.295826,68.5847,1.5570352,16.299479,276.6759,63.774536,102376.02,5.7173142,-0.047070142
上海|上海,2013-01-02,54.20298,90.4529,24.833202,42.15256,1.7007598,35.566395,276.55032,68.85814,103034.36,0.3571785,-8.87304
上海|上海,2013-01-03,34.92426,44.433037,23.491634,29.310776,1.4063724,42.25054,274.04572,80.82796,103581.35,2.757196,-8.414289
上海|上海,2013-01-04,43.825504,48.403084,23.858774,38.633404,1.1402929,36.033657,275.08444,79.850426,103090.05,1.2550818,-6.988782
上海|上海,2013-01-05,49.718987,48.93649,24.799652,44.18525,1.5522518,32.421886,275.34494,81.849754,102643.08,1.8755558,-6.3550334
上海|上海,2013-01-06,79.14895,80.859,35.048225,48.75253,1.3859197,29.787872,275.6596,76.05518,102636.54,1.7981073,-5.515342
上海|上海,2013-01-07,121.19431,117.8547,46.99372,63.222286,1.4515036,17.61658,275.88608,78.481606,102491.74,1.9488122,-4.543439
上海|上海,2013-01-08,110.15651,105.72611,51.245014,58.06027,1.5034959,32.571636,277.05698,73.60961,102517.44,1.3496295,-6.3267393
上海|上海,2013-01-09,90.959595,98.07995,49.66781,45.263924,1.3687903,33.959343,276.95047,70.48429,102794.92,0.53714067,-7.34785
上海|上海,2013-01-10,54.71744,66.456116,29.837263,49.121006,1.3587435,37.11511,276.12128,63.056206,103030.23,-0.5926093,-5.362642
上海|上海,2013-01-11,43.47204,49.379436,18.117872,54.417477,1.1615247,35.94852,278.4095,73.50799,102812.18,-2.359896,-0.37861326
上海|上海,2013-01-12,151.95494,176.65602,67.46021,96.76898,1.816785,20.986185,278.6811,80.779686,102601.336,-0.8408838,-1.9667426
上海|上海,2013-01-13,72.2351,61.57529,16.766415,55.79773,1.3878287,34.032,279.55756,89.26287,102109.805,-2.2465453,-4.58389
上海|上海,2013-01-14,113.601326,117.83271,29.333525,59.01611,1.6150091,38.535828,277.7477,78.281006,102455.83,1.4528055,-6.251789
上海|上海,2013-01-15,108.42273,115.43156,22.530025,58.72528,1.6590389,38.687965,278.26053,84.86503,102568.43,-2.1639564,-0.61629915
上海|上海,2013-01-16,170.25157,176.86601,42.855473,58.945465,1.7850311,30.238232,277.79645,84.18437,102686.26,0.19770697,-4.3174715
上海|上海,2013-01-17,53.32444,62.338097,22.950226,32.083614,1.2920578,48.788242,275.33844,68.452965,103393.125,1.6801956,-9.145678
上海|上海,2013-01-18,88.132164,100.6807,37.199184,62.10969,1.3359662,32.276287,274.2728,71.41989,103423.38,1.7778317,-3.9129765
上海|上海,2013-01-19,76.10603,76.983925,23.194925,56.804188,1.1353297,37.900368,277.15762,74.8175,102975.08,-2.7557285,1.3246638
上海|上海,2013-01-20,29.004671,36.360764,12.158263,42.101086,1.0071521,44.636303,282.5316,91.58807,102539.61,-5.0381303,4.237734
上海|上海,2013-01-21,97.70057,94.54488,30.674149,59.06608,1.8659956,8.656169,280.94733,92.240845,102312.81,4.836319,-0.7607359
上海|上海,2013-01-22,104.670876,107.341385,30.798395,51.86761,1.6818507,15.807216,276.34064,81.660194,102620.27,3.3706744,-5.70303
上海|上海,2013-01-23,139.66179,148.0092,48.749847,66.92729,1.8197216,17.443323,276.07462,71.96276,102384.516,4.3082395,-2.7015042
上海|上海,2013-01-24,188.87943,207.68811,59.39461,83.16765,2.19401,14.885629,278.08218,70.99438,102197.46,2.844353,-2.1946137
上海|上海,2013-01-25,151.5652,163.7532,41.89192,74.245674,1.7559744,25.156252,276.33728,63.202435,102497.62,2.4146771,-1.0610979
上海|上海,2013-01-26,138.44438,137.8608,45.341084,79.41591,1.6886905,29.2515,278.6379,68.31789,102312.58,1.7382797,-1.3150831
上海|上海,2013-01-27,41.68874,37.009594,18.673143,45.128765,0.84559244,45.364117,277.4698,69.04663,102880.07,-1.8362638,-3.8600214
上海|上海,2013-01-28,44.44596,50.080544,19.832697,47.935276,0.7076346,47.98167,278.91943,64.80818,102769.734,-2.328059,4.4115868
上海|上海,2013-01-29,67.62429,84.84038,23.890593,71.60226,1.0859928,42.034813,281.6594,73.89376,102492.07,-1.1573159,4.1861067
上海|上海,2013-01-30,121.54993,133.08408,26.924122,79.59068,1.7025708,49.29347,282.16837,77.74385,102713.43,-3.1692793,2.0088565
上海|上海,2013-01-31,34.590446,37.1667,11.603136,38.112556,0.67166173,55.395985,283.7819,94.48438,102357.375,-5.007282,5.8384237
上海|上海,2013-02-01,77.074875,75.04878,18.028713,56.57873,1.3308297,16.890503,285.13202,90.72212,102177.27,3.3750243,1.138439
上海|上海,2013-02-02,57.213097,67.32844,15.171515,32.261147,1.1440355,42.343227,278.29742,82.67815,103035.42,-2.4639118,-6.1045647
上海|上海,2013-02-03,19.002045,30.938684,8.955613,25.789541,0.5174738,55.792927,281.6785,84.51032,102349.016,-5.6017547,3.6645496
